Date,Price,Model_Prediction,Bet_Size
2023-04-10,0.7578396082704488,-0.0,-0.14688660635157724
2023-04-11,0.7506051897520525,-0.0,-0.020145951117897742
2023-04-12,0.7429735863962392,-0.0,-0.13424884178178031
2023-04-13,0.7650969645456005,-0.0,-0.14359925950325314
2023-04-14,0.7581653873416281,-0.0,-0.1298341738562031
2023-04-17,0.7578311969626101,-0.0,-0.0887122489486023
2023-04-18,0.7567771964377608,-0.0,-0.14466698147027146
2023-04-19,0.7555278456958447,-0.0,-0.026258940935565356
2023-04-20,0.7473977159597087,-0.0,-0.12489871933645447
2023-04-21,0.7502630370252357,-0.0,-0.1289681977058884
2023-04-24,0.7482367074589646,-0.0,-0.14466698147027146
2023-04-25,0.7297727527716154,-0.0,-0.1432965833259624
2023-04-26,0.7416370233124905,-0.0,-0.1482098347962626
2023-04-27,0.7686266301338938,-0.0,-0.10693355013326855
2023-04-28,0.7678720223024937,-0.0,-0.07071467476514814
2023-05-01,0.7621430823720035,-0.0,0.00011021087805707097
2023-05-02,0.7516132457220612,-0.0,-0.14194694154409393
2023-05-03,0.7464467329808153,-0.0,-0.14415924894764676
2023-05-04,0.7448865627704953,-0.0,-0.15269674772973618
2023-05-05,0.7674655125375356,-0.0,-0.1424875515314652
2023-05-08,0.7641439591695915,0.0,0.017599689853279532
2023-05-09,0.7550615429416929,0.0,0.04195537375056979
2023-05-10,0.7663712286719813,-0.0,-0.14177746714177109
2023-05-11,0.7660793358865297,-0.0,-0.157564895595232
2023-05-12,0.7600130986772147,-0.0,-0.14057102569241142
2023-05-15,0.7651602520543417,0.0,0.02895310258364292
2023-05-16,0.7641020507855636,-0.0,-0.027425583394818598
2023-05-17,0.7746955615247053,-0.0,-0.12166504642291143
2023-05-18,0.7885739362563369,-0.0,-0.024310878212982168
2023-05-19,0.7788250711727063,-0.0,-0.02831490971534767
2023-05-22,0.779617728415352,-0.0,-0.03177651280726257
2023-05-23,0.7640068008639833,-0.0,-0.10255677230789417
2023-05-24,0.7609301799363735,-0.0,-0.09994454980016398
2023-05-25,0.7865168378343546,-0.0,-0.0695276894994773
2023-05-26,0.8047436056413799,-0.0,0.058845756324227505
2023-05-30,0.7990701514886958,-1.0,0.2182115215318723
2023-05-31,0.7877150794943626,-0.0,0.004650154544443286
2023-06-01,0.7977120269112898,-0.0,0.08611143532941168
2023-06-02,0.8000672431200675,-0.0,0.05976433630562106
2023-06-05,0.7958981489581598,-0.0,0.006178105987393989
2023-06-06,0.7928315966328761,-0.0,0.08891210305641883
2023-06-07,0.7737345141363461,-0.0,0.02067751600205625
2023-06-08,0.7896070781592774,-0.0,0.0147626470056752
2023-06-09,0.7901762680838713,-0.0,-0.007553116613886912
2023-06-12,0.8043496805790546,-0.0,0.08983305050707302
2023-06-13,0.8055073474123011,-1.0,0.30597041465380204
2023-06-14,0.8075614156764299,-1.0,0.3197940573154612
2023-06-15,0.8144834221890562,-1.0,0.40855380779883377
2023-06-16,0.8018932299581847,-1.0,0.3969472789459103
2023-06-20,0.799123287503205,-1.0,0.23672209615478512
2023-06-21,0.7841976477426407,-0.0,-0.002862157738953597
2023-06-22,0.7987520224170215,-0.0,0.05354829058234434
2023-06-23,0.785533280333583,-0.0,-0.08029792653099832
