Date,Price,Model_Prediction,Bet_Size
2023-04-10,0.781885402661536,-0.0,-0.43213880606529675
2023-04-11,0.7810201123206193,-0.0,-0.43049067603262103
2023-04-12,0.7761301945346446,-0.0,-0.36060223414867276
2023-04-13,0.7899580268074846,-0.0,-0.38062451885588877
2023-04-14,0.7834969272540304,0.0,-0.36665490077003504
2023-04-17,0.7862570272299072,-0.0,-0.4703851167179427
2023-04-18,0.7851094545339068,0.0,-0.42674073657851863
2023-04-19,0.7837881290380313,-0.0,-0.3692267363338215
2023-04-20,0.7776005083567865,-0.0,-0.3833276686621965
2023-04-21,0.779439879566481,-0.0,-0.428494585247312
2023-04-24,0.7803400257631772,-0.0,-0.45605014769028496
2023-04-25,0.7638535244498454,-0.0,-0.21864152459491515
2023-04-26,0.7641071928852847,-0.0,-0.2008549613136087
2023-04-27,0.7865150465444577,-0.0,-0.14467220815516135
2023-04-28,0.7902647843579462,-0.0,0.004402747737490387
2023-05-01,0.7853159849943907,-0.0,-0.15491455039114155
2023-05-02,0.7726998050913201,-0.0,-0.14788553636035828
2023-05-03,0.7683274391563,-0.0,-0.15422442231640643
2023-05-04,0.763836536122577,-0.0,-0.1497256024407706
2023-05-05,0.7852121190991053,-0.0,-0.044194150238906826
2023-05-08,0.7811791626817026,-0.0,-0.06770545335112788
2023-05-09,0.7754691511912606,-0.0,-0.1287584586125241
2023-05-10,0.7807832249901026,-0.0,-0.26393223983700753
2023-05-11,0.7776690455018738,-0.0,-0.29045750419505856
2023-05-12,0.7763355106267094,-0.0,-0.4617929743177359
2023-05-15,0.7800015950302974,0.0,-0.422758977453047
2023-05-16,0.7722370010630302,0.0,-0.36908744371940083
2023-05-17,0.7858825502554474,0.0,-0.4140267078719717
2023-05-18,0.7922672103344661,-0.0,-0.39418438965004143
2023-05-19,0.7868454814645114,-0.0,-0.18918902467037801
2023-05-22,0.7860489339272378,-0.0,-0.3903508138506927
2023-05-23,0.773779208733429,-0.0,-0.2941742632841111
2023-05-24,0.769209723301338,-0.0,-0.29432213131277063
2023-05-25,0.7806673343328141,-0.0,-0.33826514078330827
